dateRep;cases;deaths;popData2018;Germany
08/04/2020;4003;254;82927922;46300
07/04/2020;3834;173;82927922;36081
06/04/2020;3677;92;82927922;28700
05/04/2020;5936;184;82927922;28700
04/04/2020;6082;141;82927922;26400
03/04/2020;6174;145;82927922;24575
02/04/2020;6156;140;82927922;22440
01/04/2020;5453;149;82927922;18700
31/03/2020;4615;128;82927922;16100
30/03/2020;4751;66;82927922;13500
29/03/2020;3965;64;82927922;9211
28/03/2020;6294;72;82927922;8481
27/03/2020;5780;55;82927922;6658
26/03/2020;4954;49;82927922;5673
25/03/2020;2342;23;82927922;3547
24/03/2020;4438;32;82927922;3243
23/03/2020;3311;27;82927922;266
22/03/2020;3276;22;82927922;266
21/03/2020;4049;2;82927922;233
20/03/2020;5940;30;82927922;180
19/03/2020;1042;0;82927922;113
18/03/2020;1144;0;82927922;105
17/03/2020;1174;1;82927922;67
16/03/2020;1043;4;82927922;67
15/03/2020;733;3;82927922;46
14/03/2020;693;0;82927922;46
13/03/2020;802;2;82927922;46
12/03/2020;271;1;82927922;25
11/03/2020;157;0;82927922;25
10/03/2020;237;2;82927922;18
09/03/2020;55;0;82927922;18
08/03/2020;163;0;82927922;18
07/03/2020;284;0;82927922;18
06/03/2020;138;0;82927922;17
05/03/2020;66;0;82927922;16
04/03/2020;39;0;82927922;16
03/03/2020;28;0;82927922;16
02/03/2020;18;0;82927922;16
01/03/2020;54;0;82927922;16
29/02/2020;10;0;82927922;16
28/02/2020;26;0;82927922;16
27/02/2020;4;0;82927922;16
26/02/2020;2;0;82927922;15
25/02/2020;0;0;82927922;14
24/02/2020;0;0;82927922;14
23/02/2020;0;0;82927922;14
22/02/2020;0;0;82927922;14
21/02/2020;0;0;82927922;14
20/02/2020;0;0;82927922;12
19/02/2020;0;0;82927922;12
18/02/2020;0;0;82927922;12
17/02/2020;0;0;82927922;1
16/02/2020;0;0;82927922;1
15/02/2020;0;0;82927922;1
14/02/2020;0;0;82927922;1
13/02/2020;0;0;82927922;1
12/02/2020;2;0;82927922;0
11/02/2020;0;0;82927922;0
10/02/2020;0;0;82927922;0
09/02/2020;0;0;82927922;0
08/02/2020;1;0;82927922;0
07/02/2020;1;0;82927922;0
06/02/2020;0;0;82927922;0
05/02/2020;0;0;82927922;0
04/02/2020;2;0;82927922;0
03/02/2020;1;0;82927922;0
02/02/2020;1;0;82927922;0
01/02/2020;2;0;82927922;0
31/01/2020;1;0;82927922;0
30/01/2020;0;0;82927922;0
29/01/2020;3;0;82927922;0
28/01/2020;1;0;82927922;0
27/01/2020;0;0;82927922;0
26/01/2020;0;0;82927922;0
25/01/2020;0;0;82927922;0
24/01/2020;0;0;82927922;0
23/01/2020;0;0;82927922;0
22/01/2020;0;0;82927922;0
21/01/2020;0;0;82927922;0
20/01/2020;0;0;82927922;0
19/01/2020;0;0;82927922;0
18/01/2020;0;0;82927922;0
17/01/2020;0;0;82927922;0
16/01/2020;0;0;82927922;0
15/01/2020;0;0;82927922;0
14/01/2020;0;0;82927922;0
13/01/2020;0;0;82927922;0
12/01/2020;0;0;82927922;0
11/01/2020;0;0;82927922;0
10/01/2020;0;0;82927922;0
09/01/2020;0;0;82927922;0
08/01/2020;0;0;82927922;0
07/01/2020;0;0;82927922;0
06/01/2020;0;0;82927922;0
05/01/2020;0;0;82927922;0
04/01/2020;0;0;82927922;0
03/01/2020;0;0;82927922;0
02/01/2020;0;0;82927922;0
01/01/2020;0;0;82927922;0
31/12/2019;0;0;82927922;0